space,column_index,label_id,feature_name,unit,measurement,coverage_status,source_ids,evidence_ids,observed_source_directions,source_measurements,exact_target_measurement_effect_available,numeric_generator_effect_assigned,conflict_or_context_note,coverage_limit
AAL3,102,107,Cerebellum_8_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S04;S05;S16,S05_total;S04_LCrusII;S16_regional_null;S05_lobule_Left_VIIIb;S05_lobule_Left_VIIIa,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM;cerebellar VBM GM volume; cluster SDM-Z",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,103,108,Cerebellum_8_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S04;S05;S16,S05_total;S04_RVIII;S16_regional_null;S05_lobule_Right_VIIIa;S05_lobule_Right_VIIIb,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM;cerebellar VBM GM volume; cluster SDM-Z",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,104,109,Cerebellum_9_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S05;S16,S05_total;S16_regional_null;S05_lobule_Left_IX,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,105,110,Cerebellum_9_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S04;S05;S16,S05_total;S04_RVIII;S16_regional_null;S05_lobule_Right_IX,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM;cerebellar VBM GM volume; cluster SDM-Z",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,106,111,Cerebellum_10_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S05;S16,S05_total;S16_regional_null;S16_cognitive_Cerebellum_10;S05_lobule_Left_X,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,107,112,Cerebellum_10_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S05;S16,S05_total;S16_regional_null;S16_cognitive_Cerebellum_10;S05_lobule_Right_X,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,108,113,Vermis_1_2,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S05;S16,S05_total;S16_regional_null,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,109,114,Vermis_3,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S05;S16,S05_total;S16_regional_null,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,110,115,Vermis_4_5,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S05;S16,S05_total;S16_regional_null,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,111,116,Vermis_6,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S05;S16,S05_total;S16_regional_null;S05_lobule_Vermis_VI,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,112,117,Vermis_7,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S04;S05;S16,S05_total;S04_LCrusII;S16_regional_null;S05_lobule_Vermis_VIIb;S05_lobule_Vermis_Crus_II;S05_lobule_Vermis_Crus_I,CI_includes_zero;lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM;cerebellar VBM GM volume; cluster SDM-Z",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,113,118,Vermis_8,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S05;S16,S05_total;S16_regional_null;S05_lobule_Vermis_VIIIb;S05_lobule_Vermis_VIIIa,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,114,119,Vermis_9,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S05;S16,S05_total;S16_regional_null;S05_lobule_Vermis_IX,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,115,120,Vermis_10,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S05;S16,S05_total;S16_regional_null;S05_lobule_Vermis_X,lower;no_detected_difference,"10 bilateral cerebellar lobules plus whole vermis; native GM volume and modulated VBM;SUIT native cerebellar GM volumes, functional parcels and VBM",False,False,Large volumetric studies disagree or show subgroup-dependent effects; whole-cerebellar reduction does not establish every lobule.,"Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,116,121,Thal_AV_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S03;S09;S10;S22,S03_thalamus;S09_anterior;S10_anterior;S22_anterior_without_whole_adjustment;S22_anterior_whole_adjusted,lower;no_detected_difference;no_positive_claim_from_text,FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,117,122,Thal_AV_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S03;S09;S10;S22,S03_thalamus;S09_anterior;S10_anterior;S22_anterior_without_whole_adjustment;S22_anterior_whole_adjusted,lower;no_detected_difference;no_positive_claim_from_text,FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,118,123,Thal_LP_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S03;S09;S10;S22,S03_thalamus;S09_lateral;S10_lateral;S22_lateral_without_whole_adjustment;S22_lateral_whole_adjusted,lower;not_reported_as_significant,FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,119,124,Thal_LP_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S03;S09;S10;S22,S03_thalamus;S09_lateral;S10_lateral;S22_lateral_without_whole_adjustment;S22_lateral_whole_adjusted,lower;not_reported_as_significant,FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,120,125,Thal_VA_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S03;S09;S10;S22,S03_thalamus;S09_ventral;S10_ventral;S22_ventral_without_whole_adjustment;S22_ventral_whole_adjusted,lower;no_detected_difference;no_positive_claim_from_text;relative_higher,FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,121,126,Thal_VA_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S03;S09;S10;S22,S03_thalamus;S09_ventral;S10_ventral;S22_ventral_without_whole_adjustment;S22_ventral_whole_adjusted,lower;no_detected_difference;no_positive_claim_from_text;relative_higher,FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,122,127,Thal_VL_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S03;S09;S10;S22,S03_thalamus;S09_ventral;S10_ventral;S22_ventral_without_whole_adjustment;S22_ventral_whole_adjusted,lower;no_detected_difference;no_positive_claim_from_text;relative_higher,FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,123,128,Thal_VL_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S03;S09;S10;S22,S03_thalamus;S09_ventral;S10_ventral;S22_ventral_without_whole_adjustment;S22_ventral_whole_adjusted,lower;no_detected_difference;no_positive_claim_from_text;relative_higher,FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,124,129,Thal_VPL_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S03;S09;S10;S22,S03_thalamus;S09_ventral;S10_ventral;S22_ventral_without_whole_adjustment;S22_ventral_whole_adjusted,lower;no_detected_difference;no_positive_claim_from_text;relative_higher,FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,125,130,Thal_VPL_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S03;S09;S10;S22,S03_thalamus;S09_ventral;S10_ventral;S22_ventral_without_whole_adjustment;S22_ventral_whole_adjusted,lower;no_detected_difference;no_positive_claim_from_text;relative_higher,FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,126,131,Thal_IL_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S03;S09;S10;S22,S03_thalamus;S09_intralaminar;S10_intralaminar;S22_intralaminar_without_whole_adjustment;S22_intralaminar_whole_adjusted,lower;no_detected_difference;no_positive_claim_from_text;not_reported_as_significant;relative_higher,FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,127,132,Thal_IL_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S03;S09;S10;S22,S03_thalamus;S09_intralaminar;S10_intralaminar;S22_intralaminar_without_whole_adjustment;S22_intralaminar_whole_adjusted,lower;no_detected_difference;no_positive_claim_from_text;not_reported_as_significant;relative_higher,FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,128,133,Thal_Re_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S03;S09;S10;S22,S03_thalamus;S09_medial;S10_medial;S22_medial_without_whole_adjustment;S22_medial_whole_adjusted,lower,FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,129,134,Thal_Re_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S03;S09;S10;S22,S03_thalamus;S09_medial;S10_medial;S22_medial_without_whole_adjustment;S22_medial_whole_adjusted,lower,FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,130,135,Thal_MDm_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S03;S08;S09;S10;S22;S23,S03_thalamus;S09_medial;S08_MDm;S10_medial;S22_medial_without_whole_adjustment;S22_medial_whole_adjusted;S23_MDm_L,lower,Bayesian segmentation of 25 thalamic nuclei from T1 MRI;FreeSurfer individual thalamic nuclear volumes;FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,131,136,Thal_MDm_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S03;S08;S09;S10;S22;S23,S03_thalamus;S09_medial;S08_MDm;S10_medial;S22_medial_without_whole_adjustment;S22_medial_whole_adjusted;S23_MDm_R,lower,Bayesian segmentation of 25 thalamic nuclei from T1 MRI;FreeSurfer individual thalamic nuclear volumes;FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,132,137,Thal_MDl_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S03;S08;S09;S10;S22;S23,S03_thalamus;S09_medial;S08_MDl;S10_medial;S22_medial_without_whole_adjustment;S22_medial_whole_adjusted;S23_MDl_L,lower,Bayesian segmentation of 25 thalamic nuclei from T1 MRI;FreeSurfer individual thalamic nuclear volumes;FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,133,138,Thal_MDl_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S03;S08;S09;S10;S22;S23,S03_thalamus;S09_medial;S08_MDl;S10_medial;S22_medial_without_whole_adjustment;S22_medial_whole_adjusted;S23_MDl_R,lower,Bayesian segmentation of 25 thalamic nuclei from T1 MRI;FreeSurfer individual thalamic nuclear volumes;FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,134,139,Thal_LGN_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S03;S08;S10;S22;S23,S03_thalamus;S08_LGN;S10_posterior;S22_posterior_without_whole_adjustment;S22_posterior_whole_adjusted;S23_LGN_nonAH,higher;lower;no_positive_claim_from_text,Bayesian segmentation of 25 thalamic nuclei from T1 MRI;FreeSurfer individual thalamic nuclear volumes;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,135,140,Thal_LGN_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S03;S08;S10;S22,S03_thalamus;S08_LGN;S10_posterior;S22_posterior_without_whole_adjustment;S22_posterior_whole_adjusted,lower;no_positive_claim_from_text,Bayesian segmentation of 25 thalamic nuclei from T1 MRI;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,136,141,Thal_MGN_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S03;S08;S10;S22,S03_thalamus;S08_MGN;S10_posterior;S22_posterior_without_whole_adjustment;S22_posterior_whole_adjusted,lower;no_positive_claim_from_text,Bayesian segmentation of 25 thalamic nuclei from T1 MRI;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,137,142,Thal_MGN_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,extrapolated,S03;S08;S10;S22;S23,S03_thalamus;S08_MGN;S10_posterior;S22_posterior_without_whole_adjustment;S22_posterior_whole_adjusted;S23_MGN_R,lower;no_positive_claim_from_text,Bayesian segmentation of 25 thalamic nuclei from T1 MRI;FreeSurfer individual thalamic nuclear volumes;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,138,143,Thal_PuI_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S03;S08;S09;S10;S22;S23,S03_thalamus;S09_pulvinar;S08_PuI;S10_pulvinar;S22_posterior_without_whole_adjustment;S22_posterior_whole_adjusted;S23_PuI_conflict,lower;no_detected_difference;no_positive_claim_from_text;source_internal_direction_conflict,Bayesian segmentation of 25 thalamic nuclei from T1 MRI;FreeSurfer individual thalamic nuclear volumes;FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,139,144,Thal_PuI_R,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S03;S08;S09;S10;S22,S03_thalamus;S09_pulvinar;S08_PuI;S10_pulvinar;S22_posterior_without_whole_adjustment;S22_posterior_whole_adjusted,lower;no_detected_difference;no_positive_claim_from_text,Bayesian segmentation of 25 thalamic nuclei from T1 MRI;FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
AAL3,140,145,Thal_PuM_L,arbitrary_image_intensity,mean_preprocessed_gray_matter_image_intensity,conflicting,S03;S08;S09;S10;S22,S03_thalamus;S09_pulvinar;S08_PuM;S10_pulvinar;S22_posterior_without_whole_adjustment;S22_posterior_whole_adjusted,lower;no_detected_difference;no_positive_claim_from_text,Bayesian segmentation of 25 thalamic nuclei from T1 MRI;FreeSurfer six bilateral thalamic groups; age/sex/eTIV adjusted;FreeSurfer25 nuclei; six groups; site/ICV/age/age2/sex adjusted; whole-thalamus adjustment separate;seven thalamic volume subdivisions and separate cortical covariance measures;voxel-based GM volume; cluster peak SDM-Z,False,False,"Nuclear grouping, stage and global-thalamus adjustment differ; significance/non-significance is not a demonstrated sign reversal.","Named or broader anatomical evidence audited; no claim that literature is exhausted. Empty exact effect is unknown, not zero."
