space,column_index,label_id,feature_name,factor_family,homolog_group,baseline_median_assumed,background_log_sd_assumed,source_evidence_ids,reference_volume_d,transfer_factor_assumed,central_standardized_effect,epistemic_sd_metadata_only,effect_provenance,rationale,all_coverage_source_ids
AAL3,153,158,N_Acc_R,basal_ganglia,N_Acc,0.5,0.18,S06_Accumbens,-0.29,0.6,-0.174,0.15,published_volume_d_with_transfer_assumptions,Published regional GM/volume d transferred through an assumed factor 0.6 to mean modulated GM intensity; lobar effects receive greater shrinkage. No cortical-thickness d is used.,S01;S06
AAL3,154,159,VTA_L,brainstem,VTA,0.5,0.18,S19_midbrain;S24_VTA_signal,,,0.0,0.2,explicit_assumption,"No reliable matching AAL3 GM-intensity direction; neutral central effect. Other-modality or nonsignificant evidence is retained in coverage, not forced negative.",S19;S24
AAL3,155,160,VTA_R,brainstem,VTA,0.5,0.18,S19_midbrain;S24_VTA_signal,,,0.0,0.2,explicit_assumption,"No reliable matching AAL3 GM-intensity direction; neutral central effect. Other-modality or nonsignificant evidence is retained in coverage, not forced negative.",S19;S24
AAL3,156,161,SN_pc_L,brainstem,SN_pc,0.5,0.18,S12_SN;S11_SN,,,0.05,0.2,explicit_assumption,Weak assumed whole-SN volumetric direction in FES versus a small-study null; pc/pr not resolved. Neuromelanin and QSM values are not transferred.,S11;S12;S24
AAL3,157,162,SN_pc_R,brainstem,SN_pc,0.5,0.18,S12_SN;S11_SN,,,0.05,0.2,explicit_assumption,Weak assumed whole-SN volumetric direction in FES versus a small-study null; pc/pr not resolved. Neuromelanin and QSM values are not transferred.,S11;S12;S24
AAL3,158,163,SN_pr_L,brainstem,SN_pr,0.5,0.18,S12_SN;S11_SN,,,0.05,0.2,explicit_assumption,Weak assumed whole-SN volumetric direction in FES versus a small-study null; pc/pr not resolved. Neuromelanin and QSM values are not transferred.,S11;S12
AAL3,159,164,SN_pr_R,brainstem,SN_pr,0.5,0.18,S12_SN;S11_SN,,,0.05,0.2,explicit_assumption,Weak assumed whole-SN volumetric direction in FES versus a small-study null; pc/pr not resolved. Neuromelanin and QSM values are not transferred.,S11;S12
AAL3,160,165,Red_N_L,brainstem,Red_N,0.5,0.18,S11_Red_N,,,0.0,0.2,explicit_assumption,"No reliable matching AAL3 GM-intensity direction; neutral central effect. Other-modality or nonsignificant evidence is retained in coverage, not forced negative.",S11
AAL3,161,166,Red_N_R,brainstem,Red_N,0.5,0.18,S11_Red_N,,,0.0,0.2,explicit_assumption,"No reliable matching AAL3 GM-intensity direction; neutral central effect. Other-modality or nonsignificant evidence is retained in coverage, not forced negative.",S11
AAL3,162,167,LC_L,brainstem,LC,0.5,0.18,S14_LC;S13_LC_cells,,,0.0,0.2,explicit_assumption,"No reliable matching AAL3 GM-intensity direction; neutral central effect. Other-modality or nonsignificant evidence is retained in coverage, not forced negative.",S13;S14
AAL3,163,168,LC_R,brainstem,LC,0.5,0.18,S14_LC;S13_LC_cells,,,0.0,0.2,explicit_assumption,"No reliable matching AAL3 GM-intensity direction; neutral central effect. Other-modality or nonsignificant evidence is retained in coverage, not forced negative.",S13;S14
AAL3,164,169,Raphe_D,brainstem,Raphe_D,0.5,0.18,S15_raphe,,,0.0,0.2,explicit_assumption,"No reliable matching AAL3 GM-intensity direction; neutral central effect. Other-modality or nonsignificant evidence is retained in coverage, not forced negative.",S15
AAL3,165,170,Raphe_M,brainstem,Raphe_M,0.5,0.18,S15_raphe,,,0.0,0.2,explicit_assumption,"No reliable matching AAL3 GM-intensity direction; neutral central effect. Other-modality or nonsignificant evidence is retained in coverage, not forced negative.",S15
